,date,ML,Low_90,High_90
Basilicata,2021-01-01,2.0,0.5,5.54
Basilicata,2021-01-02,1.8900000000000001,0.49,5.48
Basilicata,2021-01-03,1.94,0.5,5.45
Basilicata,2021-01-04,1.95,0.5,5.41
Basilicata,2021-01-05,2.0100000000000002,0.5,5.38
Basilicata,2021-01-06,1.99,0.48,5.33
Basilicata,2021-01-07,1.92,0.48,5.3100000000000005
Basilicata,2021-01-08,1.9000000000000001,0.49,5.3100000000000005
Basilicata,2021-01-09,1.8800000000000001,0.47000000000000003,5.28
Basilicata,2021-01-10,1.8800000000000001,0.49,5.3100000000000005
Basilicata,2021-01-11,1.23,0.06,10.790000000000001
Basilicata,2021-01-12,0.84,0.01,10.75
Basilicata,2021-01-13,0.8,0.04,10.790000000000001
Basilicata,2021-01-14,0.76,0.03,10.78
Basilicata,2021-01-15,0.76,0.0,10.74
Basilicata,2021-01-16,0.72,0.02,10.76
Basilicata,2021-01-17,0.65,0.0,10.73
Basilicata,2021-01-18,0.55,0.01,10.74
Basilicata,2021-01-19,0.48,0.0,10.72
Basilicata,2021-01-20,0.49,0.0,10.71
Basilicata,2021-01-21,0.42,0.0,10.69
Basilicata,2021-01-22,0.48,0.01,10.68
Basilicata,2021-01-23,0.49,0.0,10.64
Basilicata,2021-01-24,0.49,0.0,10.61
Basilicata,2021-01-25,0.51,0.0,10.59
Basilicata,2021-01-26,0.48,0.0,10.57
Basilicata,2021-01-27,0.47000000000000003,0.0,10.540000000000001
Basilicata,2021-01-28,0.44,0.0,10.53
Basilicata,2021-01-29,0.35000000000000003,0.0,10.53
Basilicata,2021-01-30,0.25,0.0,10.48
Basilicata,2021-01-31,0.3,0.0,10.52
Basilicata,2021-02-01,0.02,0.0,10.57
Basilicata,2021-02-02,0.0,0.0,10.4
Basilicata,2021-02-03,0.0,0.0,10.26
Basilicata,2021-02-04,0.0,0.0,10.16
Basilicata,2021-02-05,0.06,0.0,10.06
Basilicata,2021-02-06,1.57,0.0,9.98
Basilicata,2021-02-07,2.17,0.0,9.92
Basilicata,2021-02-08,2.19,0.0,9.85
Basilicata,2021-02-09,2.37,0.0,9.89
Basilicata,2021-02-10,2.34,0.0,9.84
Basilicata,2021-02-11,2.25,0.0,9.790000000000001
Basilicata,2021-02-12,2.09,0.0,10.11
Basilicata,2021-02-13,1.97,0.0,10.31
Basilicata,2021-02-14,1.8900000000000001,0.01,10.46
Basilicata,2021-02-15,1.82,0.0,10.540000000000001
Basilicata,2021-02-16,1.6300000000000001,0.01,10.620000000000001
Basilicata,2021-02-17,1.08,0.01,10.65
Basilicata,2021-02-18,1.02,0.01,10.67
Basilicata,2021-02-19,1.03,0.0,10.66
Basilicata,2021-02-20,1.06,0.0,10.66
Basilicata,2021-02-21,1.04,0.01,10.68
Basilicata,2021-02-22,1.01,0.0,10.67
Basilicata,2021-02-23,1.22,0.01,10.69
Basilicata,2021-02-24,1.41,0.0,10.68
Basilicata,2021-02-25,1.41,0.03,10.72
Basilicata,2021-02-26,1.41,0.01,10.700000000000001
Basilicata,2021-02-27,1.41,0.01,10.71
Basilicata,2021-02-28,1.36,0.11,10.83
Basilicata,2021-03-01,1.27,0.08,10.81
Basilicata,2021-03-02,1.1500000000000001,0.07,10.81
Basilicata,2021-03-03,1.05,0.0,10.74
Basilicata,2021-03-04,0.97,0.03,10.78
Basilicata,2021-03-05,0.8300000000000001,0.01,10.76
Basilicata,2021-03-06,0.81,0.0,10.74
Basilicata,2021-03-07,0.8300000000000001,0.02,10.76
Basilicata,2021-03-08,0.8200000000000001,0.0,10.73
Basilicata,2021-03-09,0.88,0.01,10.74
Basilicata,2021-03-10,0.93,0.01,10.74
Basilicata,2021-03-11,1.23,0.02,10.75
Basilicata,2021-03-12,1.26,0.02,10.75
Basilicata,2021-03-13,1.22,0.04,10.77
Basilicata,2021-03-14,1.17,0.02,10.74
Basilicata,2021-03-15,1.19,0.05,10.77
Basilicata,2021-03-16,1.18,0.0,10.72
Basilicata,2021-03-17,1.1400000000000001,0.04,10.77
Basilicata,2021-03-18,1.12,0.03,10.76
Basilicata,2021-03-19,1.06,0.02,10.75
Basilicata,2021-03-20,0.99,0.01,10.74
Basilicata,2021-03-21,0.91,0.04,10.78
Basilicata,2021-03-22,0.8300000000000001,0.02,10.76
Basilicata,2021-03-23,0.87,0.01,10.74
Basilicata,2021-03-24,0.97,0.02,10.75
Basilicata,2021-03-25,0.99,0.02,10.75
Basilicata,2021-03-26,1.06,0.02,10.75
Basilicata,2021-03-27,1.01,0.01,10.74
Basilicata,2021-03-28,0.85,0.01,10.74
Basilicata,2021-03-29,0.72,0.01,10.74
Basilicata,2021-03-30,0.78,0.01,10.74
Basilicata,2021-03-31,0.97,0.03,10.76
Basilicata,2021-04-01,1.11,0.01,10.73
Basilicata,2021-04-02,1.1400000000000001,0.05,10.78
Basilicata,2021-04-03,0.99,0.01,10.74
Basilicata,2021-04-04,0.92,0.02,10.76
Basilicata,2021-04-05,0.79,0.01,10.75
Basilicata,2021-04-06,0.64,0.0,10.73
Basilicata,2021-04-07,0.73,0.0,10.72
Basilicata,2021-04-08,0.88,0.02,10.74
Basilicata,2021-04-09,1.01,0.0,10.71
Basilicata,2021-04-10,1.21,0.02,10.74
Basilicata,2021-04-11,1.74,0.02,10.74
Basilicata,2021-04-12,1.85,0.01,10.73
Basilicata,2021-04-13,1.82,0.01,10.73
Basilicata,2021-04-14,1.76,0.02,10.74
Basilicata,2021-04-15,1.73,0.03,10.75
Basilicata,2021-04-16,1.77,0.11,10.84
Basilicata,2021-04-17,1.82,0.11,10.86
Basilicata,2021-04-18,1.76,0.04,10.8
Basilicata,2021-04-19,1.69,0.06,10.83
Basilicata,2021-04-20,1.52,0.05,10.82
Basilicata,2021-04-21,1.33,0.05,10.82
Basilicata,2021-04-22,1.22,0.0,10.76
Basilicata,2021-04-23,0.98,0.01,10.77
Basilicata,2021-04-24,0.76,0.0,10.76
Basilicata,2021-04-25,0.38,0.0,10.76
Basilicata,2021-04-26,0.14,0.0,10.76
Basilicata,2021-04-27,0.23,0.0,10.75
Basilicata,2021-04-28,0.96,0.0,10.74
Basilicata,2021-04-29,1.22,0.02,10.76
Basilicata,2021-04-30,1.11,0.03,10.77
Basilicata,2021-05-01,0.78,0.0,10.73
Basilicata,2021-05-02,0.32,0.0,10.73
Basilicata,2021-05-03,0.09,0.0,10.73
Basilicata,2021-05-04,0.03,0.01,10.74
Basilicata,2021-05-05,0.09,0.01,10.72
Basilicata,2021-05-06,0.32,0.0,10.67
Basilicata,2021-05-07,0.1,0.0,10.66
Basilicata,2021-05-08,0.0,0.0,10.64
Basilicata,2021-05-09,0.0,0.0,10.65
Basilicata,2021-05-10,0.0,0.0,10.66
Basilicata,2021-05-11,0.0,0.0,10.68
Basilicata,2021-05-12,0.0,0.0,10.69
Basilicata,2021-05-13,0.0,0.0,10.700000000000001
Basilicata,2021-05-14,0.0,0.0,10.71
Basilicata,2021-05-15,0.0,0.01,10.75
Basilicata,2021-05-16,0.0,0.01,10.78
Basilicata,2021-05-17,0.0,0.02,10.81
Basilicata,2021-05-18,0.0,0.11,10.92
Basilicata,2021-05-19,0.0,1.19,12.0
Basilicata,2021-05-20,0.0,1.19,12.0
Basilicata,2021-05-21,0.0,1.19,12.0
Basilicata,2021-05-22,0.0,1.19,12.0
Basilicata,2021-05-23,0.0,1.19,12.0
Basilicata,2021-05-24,0.0,1.19,12.0
Basilicata,2021-05-25,0.0,1.19,12.0
Basilicata,2021-05-26,0.0,1.19,12.0
Basilicata,2021-05-27,0.0,1.19,12.0
Basilicata,2021-05-28,0.0,1.19,12.0
Basilicata,2021-05-29,0.0,1.19,12.0
Basilicata,2021-05-30,0.0,1.19,12.0
Basilicata,2021-05-31,0.0,1.19,12.0
Basilicata,2021-06-01,0.0,1.19,12.0
Basilicata,2021-06-02,0.0,1.19,12.0
Basilicata,2021-06-03,0.0,1.19,12.0
Basilicata,2021-06-04,0.0,1.19,12.0
Basilicata,2021-06-05,0.0,1.19,12.0
Basilicata,2021-06-06,0.0,1.19,12.0
Basilicata,2021-06-07,0.0,1.19,12.0
Basilicata,2021-06-08,0.0,1.19,12.0
Basilicata,2021-06-09,0.0,1.19,12.0
Basilicata,2021-06-10,0.0,1.19,12.0
Basilicata,2021-06-11,0.0,1.19,12.0
Basilicata,2021-06-12,0.0,1.19,12.0
Basilicata,2021-06-13,0.0,1.19,12.0
Basilicata,2021-06-14,0.0,1.19,12.0
Basilicata,2021-06-15,0.0,1.19,12.0
Basilicata,2021-06-16,0.0,1.19,12.0
Basilicata,2021-06-17,0.0,1.19,12.0
Basilicata,2021-06-18,0.0,1.19,12.0
Basilicata,2021-06-19,0.0,1.19,12.0
Basilicata,2021-06-20,0.0,1.19,12.0
Basilicata,2021-06-21,0.0,1.19,12.0
Basilicata,2021-06-22,0.0,1.19,12.0
Basilicata,2021-06-23,0.0,1.19,12.0
Basilicata,2021-06-24,0.0,1.19,12.0
Basilicata,2021-06-25,3.77,0.0,10.63
Basilicata,2021-06-26,2.11,0.01,10.5
Basilicata,2021-06-27,2.34,0.0,10.31
Basilicata,2021-06-28,1.87,0.0,10.16
Basilicata,2021-06-29,1.6300000000000001,0.0,9.97
Basilicata,2021-06-30,1.49,0.0,9.74
Basilicata,2021-07-01,1.61,0.0,9.48
Basilicata,2021-07-02,1.6600000000000001,0.0,9.22
Basilicata,2021-07-03,1.55,0.0,8.97
Basilicata,2021-07-04,1.3800000000000001,0.0,8.71
Basilicata,2021-07-05,1.22,0.0,8.92
Basilicata,2021-07-06,1.09,0.0,9.14
Basilicata,2021-07-07,0.8200000000000001,0.0,9.21
Basilicata,2021-07-08,0.8200000000000001,0.0,9.1
Basilicata,2021-07-09,0.61,0.0,9.040000000000001
Basilicata,2021-07-10,0.58,0.0,8.64
Basilicata,2021-07-11,0.08,0.0,8.24
Basilicata,2021-07-12,0.0,0.0,8.64
Basilicata,2021-07-13,0.0,0.0,8.98
Basilicata,2021-07-14,0.0,0.0,9.25
Basilicata,2021-07-15,0.0,0.0,9.53
Basilicata,2021-07-16,0.0,0.0,9.33
Basilicata,2021-07-17,0.06,0.0,9.24
Basilicata,2021-07-18,0.14,0.0,9.34
Basilicata,2021-07-19,1.57,0.0,9.42
Basilicata,2021-07-20,1.73,0.0,9.790000000000001
Basilicata,2021-07-21,2.24,0.0,10.0
Basilicata,2021-07-22,2.06,0.0,9.9
Basilicata,2021-07-23,1.87,0.0,9.8
Basilicata,2021-07-24,1.68,0.0,9.71
Basilicata,2021-07-25,1.51,0.0,9.59
Basilicata,2021-07-26,1.34,0.0,9.84
Basilicata,2021-07-27,1.36,0.0,10.0
Basilicata,2021-07-28,1.53,0.0,10.15
Basilicata,2021-07-29,1.54,0.0,10.26
Basilicata,2021-07-30,1.55,0.0,10.34
Basilicata,2021-07-31,1.49,0.0,10.4
Basilicata,2021-08-01,1.41,0.0,10.450000000000001
Basilicata,2021-08-02,1.37,0.0,10.49
Basilicata,2021-08-03,1.37,0.0,10.52
Basilicata,2021-08-04,1.3800000000000001,0.01,10.57
Basilicata,2021-08-05,1.35,0.0,10.6
Basilicata,2021-08-06,1.21,0.02,10.66
Basilicata,2021-08-07,1.1,0.0,10.65
Basilicata,2021-08-08,1.04,0.0,10.65
Basilicata,2021-08-09,0.97,0.02,10.68
Basilicata,2021-08-10,0.9400000000000001,0.0,10.65
Basilicata,2021-08-11,0.9500000000000001,0.01,10.66
Basilicata,2021-08-12,0.99,0.01,10.66
Basilicata,2021-08-13,1.02,0.01,10.66
Basilicata,2021-08-14,1.02,0.01,10.66
Basilicata,2021-08-15,1.02,0.0,10.65
Basilicata,2021-08-16,1.03,0.0,10.65
Basilicata,2021-08-17,1.06,0.0,10.65
Basilicata,2021-08-18,1.03,0.02,10.68
Basilicata,2021-08-19,1.02,0.01,10.67
Basilicata,2021-08-20,0.96,0.0,10.66
Basilicata,2021-08-21,0.88,0.0,10.66
Basilicata,2021-08-22,0.78,0.0,10.66
Basilicata,2021-08-23,0.76,0.0,10.65
Basilicata,2021-08-24,0.77,0.01,10.65
Basilicata,2021-08-25,0.75,0.01,10.64
Basilicata,2021-08-26,0.71,0.0,10.61
Basilicata,2021-08-27,0.64,0.0,10.6
Basilicata,2021-08-28,0.66,0.0,10.58
Basilicata,2021-08-29,0.71,0.0,10.56
Basilicata,2021-08-30,0.8,0.0,10.540000000000001
Basilicata,2021-08-31,0.9500000000000001,0.0,10.53
Basilicata,2021-09-01,0.99,0.0,10.52
Basilicata,2021-09-02,0.91,0.0,10.53
Basilicata,2021-09-03,0.81,0.0,10.53
Basilicata,2021-09-04,0.72,0.0,10.53
Basilicata,2021-09-05,0.6900000000000001,0.0,10.51
Basilicata,2021-09-06,0.8,0.0,10.47
Basilicata,2021-09-07,0.67,0.0,10.46
Basilicata,2021-09-08,0.48,0.0,10.44
Basilicata,2021-09-09,0.24,0.0,10.41
Basilicata,2021-09-10,0.05,0.0,10.25
Basilicata,2021-09-11,0.0,0.0,9.950000000000001
Basilicata,2021-09-12,0.0,0.0,10.02
Basilicata,2021-09-13,0.0,0.0,9.58
Basilicata,2021-09-14,0.0,0.0,9.01
Basilicata,2021-09-15,0.0,0.0,8.35
Basilicata,2021-09-16,0.0,0.0,7.6000000000000005
Basilicata,2021-09-17,0.0,0.0,6.73
Basilicata,2021-09-18,0.0,0.0,6.43
Basilicata,2021-09-19,0.26,0.0,6.03
Basilicata,2021-09-20,0.74,0.0,5.95
Basilicata,2021-09-21,1.21,0.0,6.09
Basilicata,2021-09-22,0.91,0.0,5.55
Basilicata,2021-09-23,0.42,0.0,5.61
Basilicata,2021-09-24,0.35000000000000003,0.0,6.61
Basilicata,2021-09-25,0.25,0.0,7.71
Basilicata,2021-09-26,0.11,0.0,8.68
Basilicata,2021-09-27,0.0,0.0,9.3
Basilicata,2021-09-28,0.0,0.0,9.64
Basilicata,2021-09-29,0.0,0.0,9.9
Basilicata,2021-09-30,0.0,0.0,10.120000000000001
Basilicata,2021-10-01,0.23,0.0,10.31
Basilicata,2021-10-02,0.37,0.0,10.450000000000001
Basilicata,2021-10-03,0.58,0.0,10.620000000000001
Basilicata,2021-10-04,0.52,0.01,10.58
Basilicata,2021-10-05,0.46,0.0,10.5
Basilicata,2021-10-06,0.55,0.0,10.4
Basilicata,2021-10-07,0.47000000000000003,0.0,10.36
Basilicata,2021-10-08,0.35000000000000003,0.0,10.28
Basilicata,2021-10-09,0.18,0.0,10.16
Basilicata,2021-10-10,0.0,0.0,10.1
Basilicata,2021-10-11,0.0,0.0,10.17
Basilicata,2021-10-12,0.0,0.0,10.22
Basilicata,2021-10-13,0.0,0.0,10.27
Basilicata,2021-10-14,0.0,0.0,10.36
Basilicata,2021-10-15,0.0,0.0,10.450000000000001
Basilicata,2021-10-16,0.0,0.0,10.55
Basilicata,2021-10-17,0.0,0.0,10.63
Basilicata,2021-10-18,0.0,0.0,10.700000000000001
Basilicata,2021-10-19,0.0,0.03,10.81
Basilicata,2021-10-20,0.0,1.19,12.0
Basilicata,2021-10-21,0.0,1.19,12.0
Basilicata,2021-10-22,0.0,1.19,12.0
Basilicata,2021-10-23,0.0,1.19,12.0
Basilicata,2021-10-24,0.0,1.19,12.0
Basilicata,2021-10-25,5.39,0.21,10.89
Basilicata,2021-10-26,4.3500000000000005,0.13,10.73
Basilicata,2021-10-27,3.44,0.05,10.59
Basilicata,2021-10-28,2.59,0.02,10.51
Basilicata,2021-10-29,1.98,0.02,10.47
Basilicata,2021-10-30,1.6300000000000001,0.01,10.4
Basilicata,2021-10-31,1.28,0.0,10.34
Basilicata,2021-11-01,1.07,0.0,10.26
Basilicata,2021-11-02,1.05,0.0,10.14
Basilicata,2021-11-03,1.05,0.0,10.0
Basilicata,2021-11-04,1.1,0.0,10.07
Basilicata,2021-11-05,1.0,0.0,10.07
Basilicata,2021-11-06,0.96,0.0,10.07
Basilicata,2021-11-07,1.0,0.0,10.08
Basilicata,2021-11-08,1.07,0.0,10.08
Basilicata,2021-11-09,1.0,0.0,10.1
Basilicata,2021-11-10,1.12,0.0,10.09
Basilicata,2021-11-11,1.31,0.0,10.120000000000001
Basilicata,2021-11-12,1.3800000000000001,0.0,10.19
Basilicata,2021-11-13,1.44,0.0,10.26
Basilicata,2021-11-14,1.31,0.0,10.32
Basilicata,2021-11-15,1.27,0.0,10.370000000000001
Basilicata,2021-11-16,1.1400000000000001,0.0,10.41
Basilicata,2021-11-17,0.98,0.0,10.44
Basilicata,2021-11-18,0.89,0.0,10.450000000000001
Basilicata,2021-11-19,0.9400000000000001,0.0,10.44
Basilicata,2021-11-20,0.89,0.0,10.450000000000001
Basilicata,2021-11-21,0.8200000000000001,0.0,10.43
Basilicata,2021-11-22,0.8,0.0,10.4
Basilicata,2021-11-23,0.8,0.0,10.39
Basilicata,2021-11-24,0.84,0.0,10.370000000000001
Basilicata,2021-11-25,0.9400000000000001,0.0,10.36
Basilicata,2021-11-26,1.02,0.0,10.35
Basilicata,2021-11-27,1.1,0.0,10.35
Basilicata,2021-11-28,1.1300000000000001,0.0,10.35
Basilicata,2021-11-29,1.09,0.0,10.370000000000001
Basilicata,2021-11-30,1.17,0.0,10.38
Basilicata,2021-12-01,1.2,0.0,10.41
Basilicata,2021-12-02,1.22,0.0,10.43
Basilicata,2021-12-03,1.17,0.0,10.450000000000001
Basilicata,2021-12-04,1.16,0.0,10.47
Basilicata,2021-12-05,1.1500000000000001,0.0,10.48
Basilicata,2021-12-06,1.17,0.0,10.49
Basilicata,2021-12-07,1.25,0.0,10.51
Basilicata,2021-12-08,1.32,0.01,10.540000000000001
Basilicata,2021-12-09,1.4000000000000001,0.0,10.540000000000001
Basilicata,2021-12-10,1.3900000000000001,0.01,10.58
Basilicata,2021-12-11,1.44,0.02,10.620000000000001
Basilicata,2021-12-12,1.47,0.01,10.63
Basilicata,2021-12-13,1.54,0.0,10.64
Basilicata,2021-12-14,1.51,0.0,10.66
Basilicata,2021-12-15,1.49,0.02,10.700000000000001
Basilicata,2021-12-16,1.46,0.07,10.77
Basilicata,2021-12-17,1.36,0.02,10.73
Basilicata,2021-12-18,1.27,0.01,10.73
Basilicata,2021-12-19,1.25,0.04,10.77
Basilicata,2021-12-20,1.33,0.08,10.82
Basilicata,2021-12-21,1.3,0.12,10.870000000000001
Basilicata,2021-12-22,1.25,0.0,10.75
Basilicata,2021-12-23,1.26,0.11,10.870000000000001
Basilicata,2021-12-24,1.25,0.03,10.790000000000001
Basilicata,2021-12-25,1.21,0.15,10.92
Basilicata,2021-12-26,1.31,0.09,10.86
Basilicata,2021-12-27,1.44,0.33,11.11
Basilicata,2021-12-28,1.6500000000000001,0.48,11.26
Basilicata,2021-12-29,1.73,0.78,11.57
Basilicata,2021-12-30,1.71,0.68,11.47
Calabria,2021-01-01,2.0,0.5,5.54
Calabria,2021-01-02,2.0,0.5,5.54
Calabria,2021-01-03,2.0,0.5,5.54
Calabria,2021-01-04,2.0100000000000002,0.49,5.5
Calabria,2021-01-05,2.04,0.5,5.49
Calabria,2021-01-06,2.08,0.47000000000000003,5.44
Calabria,2021-01-07,2.32,0.48,5.44
Calabria,2021-01-08,2.0,0.46,5.41
Calabria,2021-01-09,1.95,0.51,5.46
Calabria,2021-01-10,1.95,0.5,5.45
Calabria,2021-01-11,3.18,0.09,10.870000000000001
Calabria,2021-01-12,3.18,0.06,10.84
Calabria,2021-01-13,3.18,0.06,10.84
Calabria,2021-01-14,0.17,0.0,10.78
Calabria,2021-01-15,0.17,0.05,10.84
Calabria,2021-01-16,1.3800000000000001,0.05,10.84
Calabria,2021-01-17,0.34,0.06,10.85
Calabria,2021-01-18,0.17,0.04,10.83
Calabria,2021-01-19,0.05,0.02,10.81
Calabria,2021-01-20,0.06,0.0,10.78
Calabria,2021-01-21,1.1500000000000001,0.03,10.81
Calabria,2021-01-22,1.22,0.0,10.77
Calabria,2021-01-23,1.26,0.02,10.790000000000001
Calabria,2021-01-24,1.12,0.01,10.78
Calabria,2021-01-25,0.97,0.05,10.83
Calabria,2021-01-26,0.0,0.02,10.8
Calabria,2021-01-27,0.0,0.0,10.78
Calabria,2021-01-28,0.0,0.04,10.82
Calabria,2021-01-29,1.33,0.01,10.6
Calabria,2021-01-30,1.9000000000000001,0.01,10.46
Calabria,2021-01-31,2.25,0.0,10.32
Calabria,2021-02-01,2.2800000000000002,0.0,10.21
Calabria,2021-02-02,1.99,0.0,10.1
Calabria,2021-02-03,1.6,0.0,10.0
Calabria,2021-02-04,1.25,0.0,9.85
Calabria,2021-02-05,0.9500000000000001,0.0,9.63
Calabria,2021-02-06,0.63,0.0,9.28
Calabria,2021-02-07,0.4,0.0,8.69
Calabria,2021-02-08,0.18,0.0,9.22
Calabria,2021-02-09,0.0,0.0,9.59
Calabria,2021-02-10,0.0,0.0,9.84
Calabria,2021-02-11,0.0,0.0,10.03
Calabria,2021-02-12,0.0,0.0,10.07
Calabria,2021-02-13,0.0,0.0,10.07
Calabria,2021-02-14,0.0,0.0,10.11
Calabria,2021-02-15,0.03,0.0,10.19
Calabria,2021-02-16,0.91,0.0,10.290000000000001
Calabria,2021-02-17,1.58,0.0,10.47
Calabria,2021-02-18,1.92,0.0,10.44
Calabria,2021-02-19,1.98,0.0,10.41
Calabria,2021-02-20,1.78,0.0,10.38
Calabria,2021-02-21,1.67,0.01,10.38
Calabria,2021-02-22,1.47,0.01,10.48
Calabria,2021-02-23,1.03,0.0,10.51
Calabria,2021-02-24,1.17,0.0,10.55
Calabria,2021-02-25,1.6400000000000001,0.0,10.58
Calabria,2021-02-26,1.9100000000000001,0.0,10.620000000000001
Calabria,2021-02-27,1.56,0.0,10.64
Calabria,2021-02-28,0.98,0.0,10.66
Calabria,2021-03-01,0.61,0.01,10.68
Calabria,2021-03-02,0.45,0.01,10.68
Calabria,2021-03-03,0.53,0.01,10.68
Calabria,2021-03-04,0.6900000000000001,0.01,10.68
Calabria,2021-03-05,0.76,0.02,10.71
Calabria,2021-03-06,0.79,0.01,10.72
Calabria,2021-03-07,0.86,0.02,10.74
Calabria,2021-03-08,0.87,0.03,10.76
Calabria,2021-03-09,0.91,0.0,10.73
Calabria,2021-03-10,1.24,0.03,10.77
Calabria,2021-03-11,1.67,0.07,10.82
Calabria,2021-03-12,1.67,0.3,11.06
Calabria,2021-03-13,1.6300000000000001,0.31,11.08
Calabria,2021-03-14,1.57,0.05,10.82
Calabria,2021-03-15,1.37,0.11,10.89
Calabria,2021-03-16,1.12,0.08,10.86
Calabria,2021-03-17,1.62,0.05,10.83
Calabria,2021-03-18,1.74,0.0,10.78
Calabria,2021-03-19,1.57,0.14,10.93
Calabria,2021-03-20,1.33,0.13,10.92
Calabria,2021-03-21,1.1500000000000001,0.12,10.91
Calabria,2021-03-22,0.96,0.12,10.91
Calabria,2021-03-23,1.07,0.12,10.91
Calabria,2021-03-24,1.18,0.18,10.97
Calabria,2021-03-25,1.27,0.42,11.21
Calabria,2021-03-26,1.34,0.47000000000000003,11.26
Calabria,2021-03-27,1.26,0.32,11.11
Calabria,2021-03-28,1.22,0.04,10.83
Calabria,2021-03-29,1.1300000000000001,0.16,10.96
Calabria,2021-03-30,0.97,0.12,10.92
Calabria,2021-03-31,1.0,0.01,10.8
Calabria,2021-04-01,1.22,0.01,10.8
Calabria,2021-04-02,1.5,0.0,10.790000000000001
Calabria,2021-04-03,0.36,0.0,10.790000000000001
Calabria,2021-04-04,0.55,0.01,10.8
Calabria,2021-04-05,0.43,0.01,10.8
Calabria,2021-04-06,0.41000000000000003,0.02,10.81
Calabria,2021-04-07,0.5,0.03,10.82
Calabria,2021-04-08,0.58,0.07,10.86
Calabria,2021-04-09,1.4000000000000001,0.1,10.89
Calabria,2021-04-10,1.41,0.07,10.86
Calabria,2021-04-11,1.35,0.06,10.85
Calabria,2021-04-12,0.71,0.06,10.85
Calabria,2021-04-13,0.73,0.07,10.86
Calabria,2021-04-14,0.98,0.08,10.870000000000001
Calabria,2021-04-15,1.23,0.17,10.96
Calabria,2021-04-16,1.19,0.25,11.040000000000001
Calabria,2021-04-17,1.01,0.18,10.97
Calabria,2021-04-18,0.9,0.13,10.92
Calabria,2021-04-19,0.85,0.05,10.84
Calabria,2021-04-20,0.8300000000000001,0.07,10.86
Calabria,2021-04-21,0.8200000000000001,0.09,10.88
Calabria,2021-04-22,0.9,0.11,10.9
Calabria,2021-04-23,0.93,0.12,10.91
Calabria,2021-04-24,0.8300000000000001,0.12,10.91
Calabria,2021-04-25,0.8,0.13,10.92
Calabria,2021-04-26,0.72,0.1,10.89
Calabria,2021-04-27,0.71,0.11,10.9
Calabria,2021-04-28,0.77,0.0,10.78
Calabria,2021-04-29,0.84,0.04,10.82
Calabria,2021-04-30,0.87,0.06,10.84
Calabria,2021-05-01,0.85,0.05,10.83
Calabria,2021-05-02,0.79,0.01,10.790000000000001
Calabria,2021-05-03,0.74,0.07,10.86
Calabria,2021-05-04,0.7000000000000001,0.04,10.83
Calabria,2021-05-05,0.74,0.03,10.81
Calabria,2021-05-06,0.89,0.02,10.790000000000001
Calabria,2021-05-07,1.0,0.04,10.81
Calabria,2021-05-08,1.08,0.0,10.76
Calabria,2021-05-09,0.9500000000000001,0.01,10.77
Calabria,2021-05-10,0.0,0.0,10.76
Calabria,2021-05-11,0.0,0.03,10.8
Calabria,2021-05-12,0.0,0.0,10.76
Calabria,2021-05-13,0.0,0.0,10.76
Calabria,2021-05-14,1.73,0.04,10.74
Calabria,2021-05-15,2.2,0.04,10.700000000000001
Calabria,2021-05-16,2.2,0.0,10.620000000000001
Calabria,2021-05-17,1.27,0.0,10.6
Calabria,2021-05-18,0.46,0.01,10.58
Calabria,2021-05-19,0.99,0.0,10.52
Calabria,2021-05-20,1.41,0.0,10.46
Calabria,2021-05-21,1.6400000000000001,0.0,10.41
Calabria,2021-05-22,1.69,0.01,10.38
Calabria,2021-05-23,1.52,0.0,10.33
Calabria,2021-05-24,1.23,0.0,10.4
Calabria,2021-05-25,0.91,0.0,10.450000000000001
Calabria,2021-05-26,0.66,0.0,10.44
Calabria,2021-05-27,0.8200000000000001,0.0,10.4
Calabria,2021-05-28,1.09,0.0,10.39
Calabria,2021-05-29,1.21,0.0,10.4
Calabria,2021-05-30,0.91,0.0,10.41
Calabria,2021-05-31,0.55,0.0,10.41
Calabria,2021-06-01,0.26,0.0,10.39
Calabria,2021-06-02,0.0,0.0,10.35
Calabria,2021-06-03,0.08,0.0,10.14
Calabria,2021-06-04,0.5,0.0,9.93
Calabria,2021-06-05,0.37,0.0,9.84
Calabria,2021-06-06,0.31,0.0,9.65
Calabria,2021-06-07,0.0,0.0,9.44
Calabria,2021-06-08,0.0,0.0,8.99
Calabria,2021-06-09,0.0,0.0,9.17
Calabria,2021-06-10,0.0,0.0,8.78
Calabria,2021-06-11,0.0,0.0,8.51
Calabria,2021-06-12,0.75,0.0,8.32
Calabria,2021-06-13,0.42,0.0,8.59
Calabria,2021-06-14,0.0,0.0,8.68
Calabria,2021-06-15,0.0,0.0,8.57
Calabria,2021-06-16,0.0,0.0,8.4
Calabria,2021-06-17,0.0,0.0,8.92
Calabria,2021-06-18,0.0,0.0,9.49
Calabria,2021-06-19,0.0,0.0,9.49
Calabria,2021-06-20,0.0,0.0,9.88
Calabria,2021-06-21,0.0,0.0,10.14
Calabria,2021-06-22,0.0,0.0,10.31
Calabria,2021-06-23,0.0,0.0,10.43
Calabria,2021-06-24,0.0,0.0,10.55
Calabria,2021-06-25,0.0,0.0,10.67
Calabria,2021-06-26,1.62,1.19,12.0
Calabria,2021-06-27,1.62,1.19,12.0
Calabria,2021-06-28,1.62,1.19,12.0
Calabria,2021-06-29,1.62,1.19,12.0
Calabria,2021-06-30,1.62,1.19,12.0
