region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Molise,2020-03-03,,estimate,1.22477728194422,1.22809991647115,0.157693551796732,0.976029178280342,1.12423922055665,1.18401980846063,1.26213704069366,1.32834811503811,1.49956389116794
Molise,2020-03-04,,estimate,1.23993167837061,1.24240457975375,0.147161417612576,1.00546630644186,1.14426144439017,1.20228875751562,1.27323792138786,1.33573968052374,1.49270617671484
Molise,2020-03-05,,estimate,1.25431570188663,1.2580309591118,0.137828784704018,1.04226695812416,1.16466553111321,1.22051279369308,1.28840161389428,1.34461587346195,1.49136924153825
Molise,2020-03-06,,estimate,1.27018167949378,1.27449776512311,0.130080583618694,1.0703201581207,1.18449109712229,1.23818045480334,1.30264306993482,1.35673626337758,1.49497060457318
Molise,2020-03-07,,estimate,1.28596561796024,1.29118239537733,0.124286800834011,1.0984739636756,1.20559013744192,1.25608092173315,1.31696976045617,1.37047052344891,1.50127661017753
Molise,2020-03-08,,estimate,1.30028776180541,1.30733658665858,0.120679962603431,1.12096414221976,1.22564382275419,1.27204171620017,1.33219900536164,1.38229547578957,1.51015960208288
Molise,2020-03-09,,estimate,1.31436699317828,1.32211687426169,0.119230799145363,1.1389255257871,1.2411711012802,1.28624555062115,1.34684507483734,1.39648871367567,1.52602340801424
Molise,2020-03-10,,estimate,1.32636544052587,1.33462980119872,0.119586152984048,1.15063815200489,1.25326662035461,1.29996964901719,1.35627167696118,1.40803281560437,1.5414130239763
Molise,2020-03-11,,estimate,1.33714109218978,1.34398949499208,0.121110072776861,1.15834910284913,1.26212382970198,1.30767446447404,1.36570865118675,1.41668385025623,1.55582983904286
Molise,2020-03-12,,estimate,1.34269303010494,1.34938277853262,0.123010398918471,1.16303397579684,1.26488047667595,1.31228992696378,1.37071780488568,1.42327912273164,1.56303873659375
Molise,2020-03-13,,estimate,1.34101368880317,1.35013477493199,0.124495243267965,1.16149450987795,1.26321665342803,1.31294772680638,1.37163189269652,1.42457533772051,1.56982201810861
Molise,2020-03-14,,estimate,1.33636809946685,1.34576652813821,0.124910636632433,1.15788325133224,1.25717217448352,1.30774498271025,1.36585936538667,1.42212028458186,1.57120710257423
Molise,2020-03-15,,estimate,1.3257087701386,1.33603616321251,0.123834319593326,1.15055547625555,1.24963461341849,1.29643096056484,1.3574512026025,1.41237058718617,1.55620091933976
Molise,2020-03-16,,estimate,1.30951925001659,1.32095708051978,0.121116520797415,1.13914298935064,1.23621322954158,1.28161575224161,1.34147531052806,1.39636845660983,1.53503787258793
Molise,2020-03-17,,estimate,1.28998876368807,1.30079053561008,0.116867798856663,1.12428652640697,1.21954207368464,1.26317304450822,1.32003513436853,1.37337609657448,1.50900613148123
Molise,2020-03-18,,estimate,1.26589955252909,1.27601475931241,0.111403681825759,1.10716991496391,1.19830228603326,1.23985380003792,1.29472967804932,1.34547632847021,1.47696276869975
Molise,2020-03-19,,estimate,1.23823855504647,1.24727700613145,0.105165009137833,1.08905996105893,1.17375278726254,1.21436684638963,1.26537596375177,1.31269805124954,1.43696128158102
Molise,2020-03-20,,estimate,1.20909149646262,1.21533723716882,0.0986359193326877,1.06770695496061,1.14584059261805,1.18430113842217,1.23157080557476,1.2759724113427,1.39148118964663
Molise,2020-03-21,,estimate,1.17527162948393,1.18101205459148,0.0922759702373967,1.0431507251822,1.11624706284688,1.15172731159705,1.19893063956244,1.23770087170475,1.34303949188153
Molise,2020-03-22,,estimate,1.14023651162667,1.14512550684647,0.0864730706911561,1.01531447789498,1.08593348373586,1.11884013964973,1.16164189761171,1.1973169548801,1.29443371609819
Molise,2020-03-23,,estimate,1.10396321229458,1.10847052277218,0.0815163807488844,0.982475421798987,1.05326378347167,1.08517266614009,1.12565590058327,1.15892317050216,1.24951028004349
Molise,2020-03-24,,estimate,1.06938404409765,1.07178199673963,0.0775858533784572,0.949194422170694,1.01903943492607,1.05085217533325,1.08842354775791,1.12090543405264,1.20282938191452
Molise,2020-03-25,,estimate,1.03353166415553,1.03572052427877,0.0747550715621298,0.914735250224906,0.987080657756061,1.01678462235082,1.05206468118677,1.08325211970664,1.15843020937635
Molise,2020-03-26,,estimate,1.00082501292275,1.00086466109885,0.0730032883845776,0.881478615770919,0.954708178125817,0.982969453630105,1.01841139850235,1.04887020769083,1.11750347086825
Molise,2020-03-27,,estimate,0.967553194339248,0.967709269537331,0.0722317775832943,0.848589736531115,0.921888278355249,0.952312636996989,0.985732151030007,1.01518111991828,1.08563248976893
Molise,2020-03-28,,estimate,0.938887641125545,0.936667806175423,0.0722813670002052,0.814621055290536,0.889000730065616,0.921820498845992,0.955115044899319,0.984785573135557,1.0543987981213
Molise,2020-03-29,,estimate,0.910820750295269,0.908077001198961,0.0729515246280441,0.782685052296595,0.86082285919799,0.892337204822879,0.927758201700243,0.955566711052675,1.0259055228264
Molise,2020-03-30,,estimate,0.884642490028569,0.882202987724264,0.0740224989773551,0.755327854861092,0.834765755265674,0.866744850072855,0.902369304359345,0.931837258927995,1.00196201256776
Molise,2020-03-31,,estimate,0.861692546766669,0.859248344959416,0.0752794591462131,0.731017291656694,0.809547326686846,0.842622249374574,0.879629448961114,0.910126146866059,0.981540050494699
Molise,2020-04-01,,estimate,0.841562106275965,0.839359660101614,0.0765346879366626,0.709715637326751,0.789304024346165,0.822010317236383,0.860265750486448,0.891820167607282,0.962214623241004
Molise,2020-04-02,,estimate,0.824628006547254,0.822635169895241,0.0776437550709219,0.689930599039629,0.770298035241485,0.804923285752743,0.843675131201436,0.875462155480025,0.947530338160104
Molise,2020-04-03,,estimate,0.81148614690309,0.809131959651752,0.0785136270598612,0.675541913331875,0.756839410646188,0.790405483197463,0.830889519952146,0.862437191131555,0.935163490524155
Molise,2020-04-04,,estimate,0.800565066835413,0.798872203540319,0.0791026210732594,0.665830304347208,0.745361861908764,0.780370099610327,0.820119185148624,0.853633198507028,0.926337328357208
Molise,2020-04-05,,estimate,0.793361493147558,0.791848089492814,0.0794131579310065,0.657740108050417,0.738312545439034,0.773488577750509,0.812276957251628,0.846719654093002,0.918910420358423
Molise,2020-04-06,,estimate,0.789490658975361,0.788025372815529,0.0794790433331255,0.656767455858302,0.734643201294996,0.769593522697209,0.809211988460757,0.843532092623211,0.916092571821158
Molise,2020-04-07,,estimate,0.789256663987447,0.787345860109325,0.07934988094405,0.657140932332919,0.734436645796464,0.768070227268366,0.809418840551668,0.842717427052003,0.914699514215745
Molise,2020-04-08,,estimate,0.791545432298395,0.78972941024804,0.0790756724527296,0.659733827458935,0.735868268488316,0.770160720180102,0.811789945437541,0.845100797322754,0.917988778944104
Molise,2020-04-09,,estimate,0.79786500595725,0.795076130201359,0.0786942637894315,0.665013372594712,0.742178875349651,0.776087315698844,0.817656788954619,0.850187928567884,0.92247706244719
