region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Emilia-Romagna,2021-11-25,,estimate,1.10645244610745,1.1051344547425,0.0370167979293366,1.041367698419,1.08349825599295,1.09780584183632,1.11510138875846,1.12930489857492,1.16374966062781
Emilia-Romagna,2021-11-26,,estimate,1.10012782059239,1.09905347171225,0.0367364631090279,1.03596907746347,1.07713445700164,1.09225240499617,1.10897525135979,1.12233313618647,1.15628982679464
Emilia-Romagna,2021-11-27,,estimate,1.09608876922503,1.09459889643056,0.0363327556779376,1.03270874203217,1.07317645724619,1.08808866934373,1.10364622586162,1.11755898894238,1.1524322094077
Emilia-Romagna,2021-11-28,,estimate,1.09233814638337,1.09183907899749,0.0359299390057577,1.03287529478973,1.07087094853533,1.08445880693608,1.10082543497514,1.11437947764207,1.14912274374607
Emilia-Romagna,2021-11-29,,estimate,1.09063761560465,1.09071638357607,0.0357089313343993,1.03290884587354,1.06950341924391,1.08276590981793,1.09907660315585,1.11278320335189,1.14886091670111
Emilia-Romagna,2021-11-30,,estimate,1.09016533364316,1.09104774092858,0.0358475026707168,1.03309228140244,1.06879522501953,1.08220212499372,1.09847648146737,1.11285160965932,1.14967615977696
Emilia-Romagna,2021-12-01,,estimate,1.09063111331036,1.09253799932092,0.0364520380686346,1.03570747520802,1.06925933242059,1.08184632822427,1.09952862238319,1.11532351933525,1.15511531868479
Emilia-Romagna,2021-12-02,,estimate,1.09169460892995,1.09480719498348,0.0375099339334625,1.03869452085251,1.06989823472644,1.08287918536852,1.10091727579258,1.11816594751788,1.16198875119346
Emilia-Romagna,2021-12-03,,estimate,1.0935196903743,1.09743136376134,0.0388803431995536,1.04064424986273,1.07085175939257,1.08453400505099,1.10325768051464,1.12114173586495,1.1670490851614
Emilia-Romagna,2021-12-04,,estimate,1.09551950887249,1.09999474405096,0.0403174926247319,1.04157641335354,1.0717308504759,1.0862200199433,1.10554104554029,1.12446375216884,1.17200972886382
Emilia-Romagna,2021-12-05,,estimate,1.0972678272153,1.10214941332041,0.0415127902125653,1.04202953895987,1.07329467990134,1.08781395360328,1.10729987422207,1.12727788611631,1.17797391605744
Emilia-Romagna,2021-12-06,,estimate,1.09868792503513,1.10367659779749,0.0421553579202534,1.04220030029736,1.07431097614888,1.08922874373817,1.10949563733992,1.12898853353239,1.17953724796984
Emilia-Romagna,2021-12-07,,estimate,1.09971440049552,1.10454211856165,0.0420218536894406,1.04316946778305,1.07629478471443,1.09066813895389,1.11033081642132,1.1287992830518,1.17940902543653
Emilia-Romagna,2021-12-08,,estimate,1.10116207705159,1.10493709829023,0.0410990503586861,1.04337482803146,1.07744677800039,1.09213210787922,1.1110055804438,1.12913037119421,1.17730273731192
Emilia-Romagna,2021-12-09,,estimate,1.1031492519357,1.10529515268078,0.0397174415511125,1.04441476235996,1.07830928959772,1.09389312835167,1.11229560361942,1.12917913135971,1.17380242945976
Emilia-Romagna,2021-12-10,,estimate,1.10516716053897,1.10627993731127,0.0386207544694885,1.04484306041286,1.0798671880291,1.09598037216145,1.1148036880556,1.13060805695123,1.17079629650736
Emilia-Romagna,2021-12-11,,estimate,1.10914497337303,1.1087422794288,0.0388017472457166,1.04475296337867,1.08313159168288,1.09872116599256,1.1189489433998,1.13489967435485,1.17118443000899
Emilia-Romagna,2021-12-12,,estimate,1.11451371125652,1.11365266731915,0.0409686327867233,1.04407744924761,1.08584814846154,1.10461454666217,1.12558287628284,1.14199526524182,1.1781619851524
Emilia-Romagna,2021-12-13,,estimate,1.12381625194926,1.12201982705293,0.0449942880721514,1.04534664634667,1.09155615132893,1.11188305359973,1.13583827318778,1.15517257914067,1.1919979965476
Emilia-Romagna,2021-12-14,,estimate,1.13621554242361,1.13480706458845,0.0499688313369345,1.05038907869649,1.09962558093203,1.12276340572293,1.15168565957956,1.17269834362263,1.21069564222573
Emilia-Romagna,2021-12-15,,estimate,1.15522701766187,1.15285448879283,0.0546961208656543,1.05919464576604,1.11409142128295,1.14076970349165,1.17126890281983,1.19523276709912,1.23436922146733
Emilia-Romagna,2021-12-16,,estimate,1.18140171628698,1.17680891602631,0.0580799914376213,1.07724196108131,1.13669252834403,1.16500473012772,1.19839288253928,1.22061047045712,1.26123798162932
Emilia-Romagna,2021-12-17,,estimate,1.2144412698995,1.20705717662385,0.0592963546383929,1.10074115709586,1.16765443020291,1.19719684569332,1.23088998756497,1.25079101287114,1.291491298182
Emilia-Romagna,2021-12-18,,estimate,1.25278593292738,1.24365545770465,0.0579046979365652,1.13786258352389,1.20615493593205,1.23709364769329,1.26595376281455,1.28542789031288,1.32512194376719
Emilia-Romagna,2021-12-19,,estimate,1.29444687529028,1.28624888187971,0.0540452280552856,1.18780551606586,1.25319879026077,1.28007977589077,1.30577387629688,1.32334714108924,1.36167656309158
Emilia-Romagna,2021-12-20,,estimate,1.3385228756521,1.33398220974995,0.0488639645910473,1.24508887969958,1.30538602846597,1.32686500395458,1.34954036783875,1.36667844742316,1.40601513193962
Emilia-Romagna,2021-12-21,,estimate,1.38601393632075,1.38541379477522,0.0451770189956042,1.30873102280751,1.35749707852195,1.37543390297623,1.39691176328175,1.41493660650656,1.45881220235858
Emilia-Romagna,2021-12-22,,estimate,1.43722537279734,1.43845877326228,0.0471038865239586,1.36197473527601,1.40679217801725,1.4257070694995,1.44869343790146,1.46871012952005,1.51837577225742
