sub_region_1,date,ML,Low_90,High_90,Low_50,High_50
Campania,2021-11-06,0.81,0.44,1.21,0.6900000000000001,1.01
Campania,2021-11-07,1.04,0.66,1.42,0.93,1.25
Campania,2021-11-08,1.1500000000000001,0.8,1.55,1.03,1.34
Campania,2021-11-09,1.1400000000000001,0.77,1.5,1.0,1.3
Campania,2021-11-10,1.12,0.75,1.47,1.0,1.3
Campania,2021-11-11,1.04,0.6900000000000001,1.41,0.92,1.22
Campania,2021-11-12,1.34,1.0,1.7,1.23,1.52
Campania,2021-11-13,1.1500000000000001,0.8200000000000001,1.5,1.03,1.31
Campania,2021-11-14,0.76,0.42,1.12,0.64,0.93
Campania,2021-11-15,1.03,0.6900000000000001,1.4000000000000001,0.9,1.19
Campania,2021-11-16,0.9400000000000001,0.6,1.31,0.81,1.1
Campania,2021-11-17,1.1500000000000001,0.8200000000000001,1.52,1.04,1.33
Campania,2021-11-18,1.0,0.66,1.35,0.89,1.18
Campania,2021-11-19,1.08,0.74,1.43,0.97,1.26
Campania,2021-11-20,0.99,0.66,1.35,0.89,1.18
Campania,2021-11-21,1.12,0.78,1.46,0.99,1.27
Campania,2021-11-22,0.9500000000000001,0.61,1.29,0.8200000000000001,1.1
Campania,2021-11-23,0.88,0.55,1.25,0.77,1.06
Campania,2021-11-24,1.23,0.9,1.58,1.11,1.3900000000000001
Campania,2021-11-25,1.37,1.05,1.7,1.26,1.53
Campania,2021-11-26,0.98,0.67,1.32,0.88,1.1500000000000001
Campania,2021-11-27,1.12,0.81,1.46,1.02,1.29
Campania,2021-11-28,0.92,0.61,1.26,0.81,1.08
Campania,2021-11-29,1.2,0.89,1.53,1.11,1.3800000000000001
Campania,2021-11-30,1.1300000000000001,0.8300000000000001,1.46,1.03,1.29
Campania,2021-12-01,0.72,0.42,1.07,0.62,0.89
Campania,2021-12-02,1.07,0.76,1.41,0.97,1.24
Campania,2021-12-03,1.17,0.86,1.49,1.06,1.32
Campania,2021-12-04,1.22,0.93,1.55,1.1300000000000001,1.3900000000000001
Campania,2021-12-05,0.89,0.59,1.21,0.8,1.06
Campania,2021-12-06,0.31,0.04,0.62,0.22,0.48
Campania,2021-12-07,1.41,1.1,1.76,1.3,1.57
Campania,2021-12-08,1.05,0.72,1.35,0.93,1.19
Campania,2021-12-09,1.03,0.72,1.36,0.9,1.16
Campania,2021-12-10,1.09,0.78,1.41,0.97,1.23
Campania,2021-12-11,1.03,0.72,1.35,0.92,1.18
Campania,2021-12-12,1.62,1.33,1.92,1.54,1.79
Campania,2021-12-13,1.3900000000000001,1.12,1.68,1.28,1.51
Campania,2021-12-14,1.19,0.92,1.47,1.1,1.33
Campania,2021-12-15,1.76,1.52,2.0300000000000002,1.67,1.8800000000000001
Campania,2021-12-16,1.33,1.1,1.59,1.25,1.45
Campania,2021-12-17,1.21,0.98,1.46,1.1300000000000001,1.33
Campania,2021-12-18,1.53,1.3,1.75,1.46,1.6500000000000001
Campania,2021-12-19,1.58,1.37,1.79,1.52,1.7
Campania,2021-12-20,0.66,0.45,0.89,0.58,0.76
Campania,2021-12-21,3.06,2.89,3.24,3.0100000000000002,3.16
Campania,2021-12-22,2.15,2.0100000000000002,2.31,2.11,2.24
Campania,2021-12-23,1.05,0.9,1.2,1.01,1.1400000000000001
Campania,2021-12-24,1.3800000000000001,1.24,1.53,1.33,1.45
Campania,2021-12-25,2.12,2.0,2.25,2.09,2.2
Campania,2021-12-26,2.21,2.11,2.33,2.17,2.2600000000000002
Campania,2021-12-27,2.31,2.22,2.41,2.2800000000000002,2.36
Campania,2021-12-28,1.06,0.97,1.16,1.03,1.11
Campania,2021-12-29,1.2,1.11,1.29,1.17,1.25
Campania,2021-12-30,1.8,1.72,1.8900000000000001,1.77,1.84
Lazio,2021-10-23,3.62,2.84,4.43,3.3000000000000003,3.95
Lazio,2021-10-24,1.47,0.85,2.1,1.26,1.78
Lazio,2021-10-25,1.72,1.1300000000000001,2.34,1.51,2.0100000000000002
Lazio,2021-10-26,1.74,1.17,2.29,1.52,1.98
Lazio,2021-10-27,1.17,0.64,1.74,0.97,1.42
Lazio,2021-10-28,1.49,0.9500000000000001,2.0300000000000002,1.31,1.76
Lazio,2021-10-29,1.9100000000000001,1.43,2.42,1.74,2.15
Lazio,2021-10-30,1.09,0.63,1.59,0.9400000000000001,1.34
Lazio,2021-10-31,1.46,1.0,1.95,1.29,1.68
Lazio,2021-11-01,1.02,0.55,1.48,0.87,1.26
Lazio,2021-11-02,1.3800000000000001,0.9400000000000001,1.86,1.23,1.61
Lazio,2021-11-03,1.68,1.26,2.11,1.53,1.8800000000000001
Lazio,2021-11-04,1.62,1.23,2.02,1.49,1.82
Lazio,2021-11-05,0.74,0.36,1.17,0.58,0.91
Lazio,2021-11-06,1.12,0.72,1.55,0.97,1.31
Lazio,2021-11-07,0.9400000000000001,0.54,1.36,0.8,1.1400000000000001
